user_identities.identity,articles_viewed_per_user,streams_added_per_user,session_id_per_user,push_enabled_user
4.32E+17,1,1,1,0
2.39E+18,1,5,1,0
5.27E+18,2,5,1,0
0000000000000a419698266553970235,3,3,1,0
000000000000a6409315927365159953,1,8,1,0
000000000000a7168109749070051050,1,4,1,0
00081f591c25427aa7f19e444413fa94,1,2,4,0
00098984bdf94f73af727ba2dd98a4dd,2,2,6,0
0009e1c187554c7abc11ee36763ebd83,5,209,4,0
000ad1270f6549f185048dcd35899039,11,58,21,0
000d7e58ad22438981563f84ca6cbb54,3,34,2,0
000e266c64de43638ce9782d4adc5fd1,17,133,40,0
000f4d8725cc48fba7094a9f7197642b,27,145,45,0
00125b0f81e04d69906e5d3572bd9c30,1,38,2,0
00141d15d26c4d7f9059c5910ba81a3d,22,33,12,0
001822383b3248de9049767a6def93fc,3,4,6,0
00290d1dc6f7456c940601dc02576857,6,2,10,0
002d9caa4bfb42c582f758b397b82aa8,1,5,12,0
002e3dc86fa748f484914ca582434614,18,122,20,0
002f2b6d907e4151b31f8f9fe7d10766,2,7,11,0
0030dc25b34d40689310a90556e897d0,1,19,10,0
0038cae90afa4429bd1dba36fa4a7343,7,18,13,0
0039e1afa07444b3bea2f51b59f61b8d,14,60,12,0
003a0331a4214de990ceacae70290071,1,5,5,0
003b039ba61244ffbb8ed15e939cffbf,20,12,12,0
003b04e0c5214c6db30375dd8065249b,1,1,9,0
0044d30cd0d94036bad789d634998f52,4,46,12,0
0044e4967c1f4d03a0e98db7d9ac409b,1,17,2,0
0045fa44e2de4f06b7b7f12a4dc39ee1,1,1,10,0
004756d5a6d442f69205e6d4f790da2a,2,2,2,1
004bae699d8b4aa4bfc4e2884e6be1bc,2,8,11,0
004c0fad61b34fa1a455730f978bd31b,18,369,28,0
004d140bc57b416e99aaab1ab4ff57e2,3,2,9,1
004d64c77b60427786bf57f47340adf8,33,65,29,0
0051b73fa1744fbc9f68f79dc9250117,4,4,1,0
00527364fefd415a86d1aca1f4305c54,4,24,8,0
0054a443d9274b99ab44091556fd692c,2,5,2,0
005bd4e68fc2474e9f03794374b8cd3b,23,17,13,0
005c21c6b20a42ce852117c79d38fc1c,4,56,13,0
005c69d853054ddca9f024964ec3bcdd,22,80,52,0
005d860e85a943fba9c1c4f2558fb21b,11,40,28,0
005fcbb08efb412d8c9e0c5645a9c161,11,1582,14,0
00630a877e994a8a9f5a2347ce5d6f7d,3,7,1,0
00647494413346e9a67badc0edd51b35,8,9,6,0
00677d2c55df4f3c9aa22d7fae5c4c27,5,28,14,0
00690097941542eea7562f1917d536b0,2,69,12,0
006abec62f6242ec82e807b54b432b13,8,178,20,0
006bf9cb7a3a4383be75edc49173ce1e,1,11,2,0
006da2cf04d044f2a8415d57a8c7d7f6,14,116,12,0
00723246d3874d01815eee7d56336cb0,3,14,7,0
00731090bb5e4b9da1ef6f3b3071dd7b,9,16,16,0
0075a34d8f5f4bd88e5af15bfafd67ea,1,14,2,0
007deabf416f46f3bb1595368e9dbbba,1,14,2,0
007e71fa747e489881307c832607c598,7,264,19,0
008109bbbdcd4b09b4b8c0dbb0e9adb6,1,21,6,1
00820258a13c4c5db8489d57ed7a85c4,5,12,8,0
00828c891c874dfebbc9a532c1f598a3,3,2,2,0
00833141fe1d40c68c7013d319cf34fa,4,16,6,0
008435ed4e8843d0b3c79207b6f756b1,16,95,28,0
0086f6e43c8e47e1b514c27de20ab285,6,164,25,1
008912674d34437db4cfb632a18c03c7,3,21,15,0
0089503eb2e647c3a014fe13a7a444c8,5,206,11,0
008b94e655874bbc89626e26d1291c51,2,237,10,0
00920e13bc0e468eae624761ff9a1915,8,216,40,0
00921c0e7b3b491894f1d3aedc779fd1,8,27,7,0
0093027cb95f4cb3a285ad1483b9b375,11,9,22,0
0093611376cf4ac1bfc2d480bc697bae,3,6,4,0
0093a1f7aaed4ad0919da52ac8f37f01,1,7,4,1
0097aa3f20dd445d9130b59436e19c1e,6,30,18,0
009ab68709ba44d986af1f54a540bc01,1,12,3,0
009bd0dc35c54bf2b839bbc751fa1635,2,3,3,1
009c15649688485b8a054cc4243da39b,25,317,53,0
009c8ff9503d4a06b1a85f5e2ff80d5c,11,116,28,0
00a33ecba85e42acbe1537916778a76a,4,2,5,0
00a6c9b397e94096adca8e817ea36dee,6,97,37,0
00a8cb6b2561437d8e32eff4db75002f,2,10,9,0
00ab596c51eb4798b54d4e4b10b3d04c,2,16,4,0
00b0da5495ef46ebaedf73b01f141eec,1,5,2,0
00b358bf45e74d7ca1857cfcb4ebf3ad,16,47,40,0
00b4cefb25fc4f25afe874e47ab4c3c2,7,45,20,0
00b575850c994789be3264dbf8c67d61,8,19,8,0
00b5a1461cc248f6a7e4e41301f604db,15,6,10,0
00b5cd3dbe9c458ba0e53e454d3d02b2,1,4,1,0
00b66200ac63462f9ac26345eb59414b,1,88,7,0
00b8ba06b6d841048091bbcc2c0fe632,2,23,6,0
00be2349539045169cbf8302e525fb42,1,9,7,0
00be3cb08b6544f9b1459bf6245daa50,3,3,5,0
00c1a79ac22c45369116757671ae6633,2,176,9,0
00c579c3434e456ab131b62af3919edf,1,7,5,0
00c94059458f4289bbd5fa0681bfd167,4,12,6,0
00ca47dd4d6a4a4bbefd83eb589c8d16,14,26,44,0
00cb69ff029d4732a609df2a454900e0,2,56,9,0
00cb6c323b6347ef9801d5e14d2f30a9,5,17,7,0
00cece25bcd24b40980c548079865df1,5,17,12,0
00d149e1fc0d4ee1986e4168921b7b7f,5,56,24,0
00d3e2a2d2d644d6bfbd8bd3000b272d,8,124,24,0
00d427533a534d8b9b5e35cea0ffef44,4,24,4,0
00d48f9b9ce749a58a23189a5950c210,7,26,5,0
00dc36d798cf49bca5e181b450393213,4,91,56,0
00e3d944b7af46fd93262e1187d46952,3,35,7,0
00e57c89864343edb57109ef8c04c7e9,17,290,47,0
00e845438582417cbba8c7828a265dda,4,75,13,1
00e878274ca44cb38ec8b6cdd5cfcf4d,13,142,15,0
00ef074e8898464a93ba189b015bdb89,2,14,5,0
00f67bbef84f4d1b8c564782c7684ae8,46,687,44,0
00f75dd963494aa8adb87eb1fe069c93,4,52,12,0
00faf3ede3094f11bfbf2d29d1f67a5a,7,5,4,0
01009381387748d5bb94971a25891397,18,26,18,0
0113926b5ddd4c27b015e1451403ef76,3,1,5,0
0116c6256c474b1e856c046b332ebd47,5,15,9,0
01179a265af243208e3345d679e410c5,5,37,8,1
0119a96d131143d4bdd8a892f4f8195b,27,73,39,0
011f435f8e4f494597a43816383ccf93,6,114,16,0
01216e885c22485c9c4427ed4c8270ab,10,15,13,0
0128752f33e74721b56c7b004a8651cc,2,64,4,1
0128d887508d491aa9725aad30ad6bb2,1,1,3,1
012b2994d2f54439a499a3eb0b33711d,1,32,10,1
012d7bcb0fb946a7b247e6090ff8aa21,2,66,12,0
012dd2d2c9a94928a488ef445cacb87f,274,22,79,0
01317f3ffad54bd8b7919367f5b6550b,11,4,9,0
013244e404df4f3b834489a3cfd13395,3,16,3,0
